target,sampling number,method,time,accept Rate
beta82,5000,reject,8.214250087738037,0.2763957987838585
beta82,5000,MCMC,8.102535963058472,0.3762793497892835
beta82,10000,reject,14.2413250207901,0.2770636439900518
beta82,10000,MCMC,11.360950469970703,0.3752444161287847
beta82,20000,reject,21.472729444503784,0.2765073784475031
beta82,20000,MCMC,17.147510687510174,0.3760988049519174
beta82,50000,reject,42.218064188957214,0.27657127888157
beta82,50000,MCMC,31.95238727331161,0.3767560103803017
doubleG1,5000,reject,34.53907356262207,0.3382024096097584
doubleG1,5000,MCMC,26.30070486068725,0.4710400924433423
doubleG1,10000,reject,30.15040898323059,0.3789717597274466
doubleG1,10000,MCMC,23.005646268526714,0.5341724574219434
doubleG1,20000,reject,28.17419627734593,0.4077833159924723
doubleG1,20000,MCMC,21.54111811092921,0.5791381731362681
doubleG1,50000,reject,29.583426982164383,0.4297698710488858
doubleG1,50000,MCMC,22.779745429754257,0.6128165360511988
Bi-Guassian,10000,Gibbs,0.15,
